,Surname,#Awards,Education
408,Morris,0,"['Harvard University ', 'Cornell University']"
409,Moses,0,"['BA', 'MA', 'Columbia University', 'PhD', 'mathematics', 'MIT']"
410,Motwani,1,"['IIT Kanpur', 'B.Tech', 'C.S.', 'UC Berkeley', 'Ph.D.', 'C.S.']"
411,Mukhanov,0,[]
412,Muggleton,4,['University of Edinburgh']
413,Müller,1,"['University of Karlsruhe', 'Diplom', 'University of Karlsruhe']"
414,Mycroft,0,"['University of Cambridge', 'University of Edinburgh']"
415,Myers,8,"['University of Toronto', 'Massachusetts Institute of Technology']"
416,Nadin,0,[]
417,Nagao,8,['Kyoto University']
418,Nake,9,[]
419,Nardi,0,[]
420,Naur,2,['Technical University of Denmark']
421,Needham,2,['University of Cambridge']
422,Nell,0,['Drexel University']
423,Nelson,2,"['Harvard University', 'Stanford University']"
424,Neumann,0,[]
425,Neumann,0,[]
426,Neumann,6,"['Pázmány Péter University', 'University of Berlin', 'ETH Zürich']"
427,Newell,5,"['Stanford University', 'Princeton University', 'Carnegie Mellon University']"
428,Newman,3,"[""St John's College, Cambridge""]"
429,Ng,9,"['University of California, Berkeley', 'Massachusetts Institute of Technology', 'Carnegie Mellon University']"
430,Nilsson,6,['Stanford University']
431,Nijssen,0,['Eindhoven University of Technology']
432,Nipkow,0,[]
433,Nivat,7,['Joseph Fourier University']
434,Nkambule,3,"['University of Pretoria', 'Cefups Academy']"
435,Noe,0,"['UC Berkeley', 'Stanford University']"
436,Nordin,0,"['University of Dortmund', 'Chalmers University of Technology', 'Göteborg University']"
437,Norman,4,"['MIT', 'University of Pennsylvania']"
438,Norvig,2,"['Brown University', 'University of California, Berkeley']"
439,Novacky,0,['University of Pittsburgh']
440,Nygaard,4,"['M.Sc.', 'University of Oslo']"
441,Odersky,0,"['Ludwig Maximilian University of Munich', 'ETH Zurich']"
442,O'Hearn,9,"['Dalhousie University', ""Queen's University""]"
443,Olle,0,['University of Manchester']
444,Omohundro,0,"['Stanford University', 'University of California, Berkeley']"
445,Ornstein,0,[]
446,O'Sullivan,2,[]
447,Ousterhout,2,"[""Bachelor's degree"", 'Ph.D']"
448,Overmars,0,['Utrecht University']
449,Owicki,0,['Cornell University']
450,Page,9,"['University of Michigan', 'BS', 'Stanford University', 'MS']"
451,Pal,2,"['Rajabazar Science College', 'University of Calcutta', 'Indian Statistical Institute', 'Imperial College London']"
452,Pandya,2,[]
453,Papadimitriou,5,"['Athens Polytechnic', 'Princeton University']"
454,Park,0,"['University of Oxford', 'Massachusetts Institute of Technology']"
455,Parnas,0,[]
456,Patil,0,"['University of California, San Diego', 'BA', 'University of Maryland College Park', 'PhD']"
457,Patt,6,[]
458,Patterson,6,"['University of California, Los Angeles']"
459,Paterson,2,"['Ph.D.', 'University of Cambridge']"
460,Pătrașcu,0,['Massachusetts Institute of Technology']
461,Paulson,1,"['California Institute of Technology', 'Stanford University']"
462,Pausch,5,"['Brown University', 'Carnegie Mellon University']"
463,Pavón,0,"['Technical University of Madrid', 'Université Pierre et Marie Curie']"
464,Pearl,5,"['Technion – Israel Institute of Technology', 'New Jersey Institute of Technology', 'Rutgers University', 'New York University Tandon School of Engineering']"
465,Perlis,2,"['Chemistry', 'Carnegie Mellon', 'MIT']"
466,Perlman,11,['MIT']
467,Perotto,0,[]
468,Péter,0,[]
469,Jones,3,['University of Cambridge']
470,Pham,0,"['Georgia Institute of Technology', 'Supélec', 'MIT Media Lab', 'Harvard University']"
471,Pieraccini,11,['University of Pisa']
472,Pingali,3,"['IIT Kanpur', 'MIT']"
473,Plotkin,3,"['University of Glasgow', 'University of Edinburgh']"
474,Pnueli,2,['Stanford University']
475,Poel,2,"['Delft University of Technology', 'B.S.', 'University of Amsterdam', 'Ph.D.']"
476,Popplewell,0,['University of Cambridge']
477,Post,0,"['City College of New York', '[1]', 'Columbia University', '[2]']"
478,Postel,6,['UCLA']
479,Preparata,2,['University of Rome']
